product_id,detected_at_utc,detected_at,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,source_file,notes
IDEX-USD,2025-08-31 01:44:24+00:00,1756604664,0.0274,0.0274548,0.028827540000000002,0.026631156,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
ZORA-USD,2025-08-31 01:47:00+00:00,1756604820,0.07939,0.07954878,0.083526219,0.0771623166,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KARRAT-USD,2025-08-31 01:48:12+00:00,1756604892,0.0608,0.0609216,0.06396768,0.059093952,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
EDGE-USD,2025-08-31 01:48:15+00:00,1756604895,0.44737,0.44826474,0.470677977,0.4348167978,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-31 01:49:43+00:00,1756604983,0.005495,0.00550599,0.0057812895,0.005340810299999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 01:50:03+00:00,1756605003,0.09199,0.09217398,0.09678267900000001,0.0894087606,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
AERO-USD,2025-08-31 01:51:02+00:00,1756605062,1.20414,1.20654828,1.266875694,1.1703518316,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
LOKA-USD,2025-08-31 01:53:00+00:00,1756605180,0.2097,0.2101194,0.22062537000000002,0.203815818,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
MNDE-USD,2025-08-31 01:56:45+00:00,1756605405,0.13544,0.13571088,0.142496424,0.13163955360000001,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SAPIEN-USD,2025-08-31 01:58:18+00:00,1756605498,0.1636,0.1639272,0.17212356,0.159009384,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
API3-USD,2025-08-31 02:01:02+00:00,1756605662,1.161,1.163322,1.2214881,1.12842234,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SAPIEN-USD,2025-08-31 02:02:00+00:00,1756605720,0.1654,0.16573079999999998,0.17401734,0.16075887599999997,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-31 02:03:16+00:00,1756605796,0.005768,0.005779536,0.0060685128,0.00560614992,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
API3-USD,2025-08-31 02:04:05+00:00,1756605845,1.181,1.183362,1.2425301,1.14786114,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SUKU-USD,2025-08-31 02:08:16+00:00,1756606096,0.0329,0.032965799999999996,0.03461409,0.03197682599999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
